Frequent 0-itemsets:
itemset (occurrence)
{} (8124)
Frequent 1-itemsets:
itemset (occurrence)
116 (3148)
6 (3152)
10 (3244)
23 (3376)
52 (3516)
28 (3528)
3 (3656)
56 (3776)
1 (3916)
93 (3968)
110 (4040)
2 (4208)
76 (4384)
67 (4464)
53 (4608)
24 (4748)
63 (4936)
59 (5176)
39 (5612)
36 (6812)
90 (7488)
34 (7914)
86 (7924)
85 (8124)
Frequent 2-itemsets:
itemset (occurrence)
2 ==> 28 39 86 (0.718631, 3024)
28 ==> 2 39 86 85 (0.857143, 3024)
2 ==> 28 39 86 85 (0.718631, 3024)
28 ==> 2 39 85 (0.911565, 3216)
2 ==> 28 39 85 (0.764259, 3216)
28 ==> 2 90 (0.816327, 2880)
2 ==> 28 90 (0.684411, 2880)
28 ==> 2 90 85 (0.816327, 2880)
2 ==> 28 90 85 (0.684411, 2880)
28 ==> 2 34 (0.911565, 3216)
2 ==> 28 34 (0.764259, 3216)
28 ==> 2 34 86 (0.911565, 3216)
2 ==> 28 34 86 (0.764259, 3216)
28 ==> 2 34 86 85 (0.911565, 3216)
2 ==> 28 34 86 85 (0.764259, 3216)
28 ==> 2 34 85 (0.911565, 3216)
2 ==> 28 34 85 (0.764259, 3216)
28 ==> 2 86 (0.911565, 3216)
2 ==> 28 86 (0.764259, 3216)
28 ==> 2 86 85 (0.911565, 3216)
2 ==> 28 86 85 (0.764259, 3216)
28 ==> 2 85 (0.965986, 3408)
2 ==> 28 85 (0.809886, 3408)
28 ==> 63 (0.814059, 2872)
28 ==> 63 85 (0.814059, 2872)
28 ==> 59 (0.827664, 2920)
28 ==> 59 85 (0.827664, 2920)
28 ==> 39 (0.931973, 3288)
28 ==> 39 34 (0.877551, 3096)
28 ==> 39 34 86 (0.877551, 3096)
28 ==> 39 34 86 85 (0.877551, 3096)
28 ==> 39 34 85 (0.877551, 3096)
28 ==> 39 86 (0.877551, 3096)
28 ==> 39 86 85 (0.877551, 3096)
28 ==> 39 85 (0.931973, 3288)
28 ==> 90 (0.829932, 2928)
28 ==> 90 85 (0.829932, 2928)
28 ==> 34 (0.945578, 3336)
28 ==> 34 86 (0.943311, 3328)
28 ==> 34 86 85 (0.943311, 3328)
28 ==> 34 85 (0.945578, 3336)
28 ==> 86 (0.943311, 3328)
28 ==> 86 85 (0.943311, 3328)
28 ==> 85 (1, 3528)
3 ==> 36 (0.824945, 3016)
3 ==> 36 90 (0.798687, 2920)
3 ==> 36 90 34 (0.785558, 2872)
3 ==> 36 90 34 86 (0.785558, 2872)
3 ==> 36 90 34 86 85 (0.785558, 2872)
3 ==> 36 90 34 85 (0.785558, 2872)
3 ==> 36 90 86 (0.785558, 2872)
3 ==> 36 90 86 85 (0.785558, 2872)
3 ==> 36 90 85 (0.798687, 2920)
3 ==> 36 34 (0.810175, 2962)
3 ==> 36 34 86 (0.810175, 2962)
3 ==> 36 34 86 85 (0.810175, 2962)
3 ==> 36 34 85 (0.810175, 2962)
3 ==> 36 86 (0.811816, 2968)
3 ==> 36 86 85 (0.811816, 2968)
3 ==> 36 85 (0.824945, 3016)
3 ==> 90 (0.947484, 3464)
3 ==> 90 34 (0.934354, 3416)
3 ==> 90 34 86 (0.934354, 3416)
3 ==> 90 34 86 85 (0.934354, 3416)
3 ==> 90 34 85 (0.934354, 3416)
3 ==> 90 86 (0.934354, 3416)
3 ==> 90 86 85 (0.934354, 3416)
3 ==> 90 85 (0.947484, 3464)
3 ==> 34 (0.98523, 3602)
3 ==> 34 86 (0.98523, 3602)
3 ==> 34 86 85 (0.98523, 3602)
3 ==> 34 85 (0.98523, 3602)
3 ==> 86 (0.986871, 3608)
3 ==> 86 85 (0.986871, 3608)
3 ==> 85 (1, 3656)
56 ==> 39 (0.908898, 3432)
39 ==> 56 (0.611547, 3432)
56 ==> 39 36 (0.908898, 3432)
39 ==> 56 36 (0.611547, 3432)
56 ==> 39 36 90 (0.877119, 3312)
39 36 ==> 56 90 (0.726953, 3312)
39 90 ==> 56 36 (0.665595, 3312)
56 ==> 39 36 90 34 (0.877119, 3312)
39 36 ==> 56 90 34 (0.726953, 3312)
39 90 ==> 56 36 34 (0.665595, 3312)
39 34 ==> 56 36 90 (0.613106, 3312)
56 ==> 39 36 90 34 86 (0.877119, 3312)
39 36 ==> 56 90 34 86 (0.726953, 3312)
39 90 ==> 56 36 34 86 (0.665595, 3312)
39 34 ==> 56 36 90 86 (0.613106, 3312)
39 86 ==> 56 36 90 34 (0.61107, 3312)
56 ==> 39 36 90 34 86 85 (0.877119, 3312)
39 36 ==> 56 90 34 86 85 (0.726953, 3312)
39 90 ==> 56 36 34 86 85 (0.665595, 3312)
39 34 ==> 56 36 90 86 85 (0.613106, 3312)
39 86 ==> 56 36 90 34 85 (0.61107, 3312)
56 ==> 39 36 90 34 85 (0.877119, 3312)
39 36 ==> 56 90 34 85 (0.726953, 3312)
39 90 ==> 56 36 34 85 (0.665595, 3312)
39 34 ==> 56 36 90 85 (0.613106, 3312)
56 ==> 39 36 90 86 (0.877119, 3312)
39 36 ==> 56 90 86 (0.726953, 3312)
39 90 ==> 56 36 86 (0.665595, 3312)
39 86 ==> 56 36 90 (0.61107, 3312)
56 ==> 39 36 90 86 85 (0.877119, 3312)
39 36 ==> 56 90 86 85 (0.726953, 3312)
39 90 ==> 56 36 86 85 (0.665595, 3312)
39 86 ==> 56 36 90 85 (0.61107, 3312)
56 ==> 39 36 90 85 (0.877119, 3312)
39 36 ==> 56 90 85 (0.726953, 3312)
39 90 ==> 56 36 85 (0.665595, 3312)
56 ==> 39 36 34 (0.908898, 3432)
39 ==> 56 36 34 (0.611547, 3432)
56 ==> 39 36 34 86 (0.908898, 3432)
39 ==> 56 36 34 86 (0.611547, 3432)
56 ==> 39 36 34 86 85 (0.908898, 3432)
39 ==> 56 36 34 86 85 (0.611547, 3432)
56 ==> 39 36 34 85 (0.908898, 3432)
39 ==> 56 36 34 85 (0.611547, 3432)
56 ==> 39 36 86 (0.908898, 3432)
39 ==> 56 36 86 (0.611547, 3432)
56 ==> 39 36 86 85 (0.908898, 3432)
39 ==> 56 36 86 85 (0.611547, 3432)
56 ==> 39 36 85 (0.908898, 3432)
39 ==> 56 36 85 (0.611547, 3432)
56 ==> 39 90 (0.877119, 3312)
39 90 ==> 56 (0.665595, 3312)
56 ==> 39 90 34 (0.877119, 3312)
39 90 ==> 56 34 (0.665595, 3312)
39 34 ==> 56 90 (0.613106, 3312)
56 ==> 39 90 34 86 (0.877119, 3312)
39 90 ==> 56 34 86 (0.665595, 3312)
39 34 ==> 56 90 86 (0.613106, 3312)
39 86 ==> 56 90 34 (0.61107, 3312)
56 ==> 39 90 34 86 85 (0.877119, 3312)
39 90 ==> 56 34 86 85 (0.665595, 3312)
39 34 ==> 56 90 86 85 (0.613106, 3312)
39 86 ==> 56 90 34 85 (0.61107, 3312)
56 ==> 39 90 34 85 (0.877119, 3312)
39 90 ==> 56 34 85 (0.665595, 3312)
39 34 ==> 56 90 85 (0.613106, 3312)
56 ==> 39 90 86 (0.877119, 3312)
39 90 ==> 56 86 (0.665595, 3312)
39 86 ==> 56 90 (0.61107, 3312)
56 ==> 39 90 86 85 (0.877119, 3312)
39 90 ==> 56 86 85 (0.665595, 3312)
39 86 ==> 56 90 85 (0.61107, 3312)
56 ==> 39 90 85 (0.877119, 3312)
39 90 ==> 56 85 (0.665595, 3312)
56 ==> 39 34 (0.908898, 3432)
39 ==> 56 34 (0.611547, 3432)
56 ==> 39 34 86 (0.908898, 3432)
39 ==> 56 34 86 (0.611547, 3432)
56 ==> 39 34 86 85 (0.908898, 3432)
39 ==> 56 34 86 85 (0.611547, 3432)
56 ==> 39 34 85 (0.908898, 3432)
39 ==> 56 34 85 (0.611547, 3432)
56 ==> 39 86 (0.908898, 3432)
39 ==> 56 86 (0.611547, 3432)
56 ==> 39 86 85 (0.908898, 3432)
39 ==> 56 86 85 (0.611547, 3432)
56 ==> 39 85 (0.908898, 3432)
39 ==> 56 85 (0.611547, 3432)
56 ==> 36 (0.934322, 3528)
56 ==> 36 90 (0.902542, 3408)
56 ==> 36 90 34 (0.902542, 3408)
56 ==> 36 90 34 86 (0.902542, 3408)
56 ==> 36 90 34 86 85 (0.902542, 3408)
56 ==> 36 90 34 85 (0.902542, 3408)
56 ==> 36 90 86 (0.902542, 3408)
56 ==> 36 90 86 85 (0.902542, 3408)
56 ==> 36 90 85 (0.902542, 3408)
56 ==> 36 34 (0.934322, 3528)
56 ==> 36 34 86 (0.934322, 3528)
56 ==> 36 34 86 85 (0.934322, 3528)
56 ==> 36 34 85 (0.934322, 3528)
56 ==> 36 86 (0.934322, 3528)
56 ==> 36 86 85 (0.934322, 3528)
56 ==> 36 85 (0.934322, 3528)
56 ==> 90 (0.96822, 3656)
56 ==> 90 34 (0.96822, 3656)
56 ==> 90 34 86 (0.96822, 3656)
56 ==> 90 34 86 85 (0.96822, 3656)
56 ==> 90 34 85 (0.96822, 3656)
56 ==> 90 86 (0.96822, 3656)
56 ==> 90 86 85 (0.96822, 3656)
56 ==> 90 85 (0.96822, 3656)
56 ==> 34 (1, 3776)
56 ==> 34 86 (1, 3776)
56 ==> 34 86 85 (1, 3776)
56 ==> 34 85 (1, 3776)
56 ==> 86 (1, 3776)
56 ==> 86 85 (1, 3776)
56 ==> 85 (1, 3776)
1 ==> 110 (0.727273, 2848)
110 ==> 1 (0.70495, 2848)
1 ==> 110 34 (0.727273, 2848)
110 ==> 1 34 (0.70495, 2848)
1 ==> 110 34 86 (0.727273, 2848)
110 ==> 1 34 86 (0.70495, 2848)
1 ==> 110 34 86 85 (0.727273, 2848)
110 ==> 1 34 86 85 (0.70495, 2848)
1 ==> 110 34 85 (0.727273, 2848)
110 ==> 1 34 85 (0.70495, 2848)
1 ==> 110 86 (0.727273, 2848)
110 ==> 1 86 (0.70495, 2848)
1 ==> 110 86 85 (0.727273, 2848)
110 ==> 1 86 85 (0.70495, 2848)
1 ==> 110 85 (0.727273, 2848)
110 ==> 1 85 (0.70495, 2848)
1 ==> 24 (0.840654, 3292)
24 ==> 1 (0.693345, 3292)
1 ==> 24 36 (0.814096, 3188)
24 ==> 1 36 (0.671441, 3188)
1 ==> 24 36 90 (0.804903, 3152)
24 ==> 1 36 90 (0.663858, 3152)
1 ==> 24 36 90 34 (0.804903, 3152)
24 ==> 1 36 90 34 (0.663858, 3152)
1 ==> 24 36 90 34 86 (0.804903, 3152)
24 ==> 1 36 90 34 86 (0.663858, 3152)
1 ==> 24 36 90 34 86 85 (0.804903, 3152)
24 ==> 1 36 90 34 86 85 (0.663858, 3152)
1 ==> 24 36 90 34 85 (0.804903, 3152)
24 ==> 1 36 90 34 85 (0.663858, 3152)
1 ==> 24 36 90 86 (0.804903, 3152)
24 ==> 1 36 90 86 (0.663858, 3152)
1 ==> 24 36 90 86 85 (0.804903, 3152)
24 ==> 1 36 90 86 85 (0.663858, 3152)
1 ==> 24 36 90 85 (0.804903, 3152)
24 ==> 1 36 90 85 (0.663858, 3152)
1 ==> 24 36 34 (0.809499, 3170)
24 ==> 1 36 34 (0.66765, 3170)
1 ==> 24 36 34 86 (0.809499, 3170)
24 ==> 1 36 34 86 (0.66765, 3170)
1 ==> 24 36 34 86 85 (0.809499, 3170)
24 ==> 1 36 34 86 85 (0.66765, 3170)
1 ==> 24 36 34 85 (0.809499, 3170)
24 ==> 1 36 34 85 (0.66765, 3170)
1 ==> 24 36 86 (0.814096, 3188)
24 ==> 1 36 86 (0.671441, 3188)
1 ==> 24 36 86 85 (0.814096, 3188)
24 ==> 1 36 86 85 (0.671441, 3188)
1 ==> 24 36 85 (0.814096, 3188)
24 ==> 1 36 85 (0.671441, 3188)
1 ==> 24 90 (0.831461, 3256)
24 ==> 1 90 (0.685762, 3256)
1 ==> 24 90 34 (0.831461, 3256)
24 ==> 1 90 34 (0.685762, 3256)
1 ==> 24 90 34 86 (0.829418, 3248)
24 ==> 1 90 34 86 (0.684078, 3248)
1 ==> 24 90 34 86 85 (0.829418, 3248)
24 ==> 1 90 34 86 85 (0.684078, 3248)
1 ==> 24 90 34 85 (0.831461, 3256)
24 ==> 1 90 34 85 (0.685762, 3256)
1 ==> 24 90 86 (0.829418, 3248)
24 ==> 1 90 86 (0.684078, 3248)
1 ==> 24 90 86 85 (0.829418, 3248)
24 ==> 1 90 86 85 (0.684078, 3248)
1 ==> 24 90 85 (0.831461, 3256)
24 ==> 1 90 85 (0.685762, 3256)
1 ==> 24 34 (0.836057, 3274)
24 ==> 1 34 (0.689553, 3274)
1 ==> 24 34 86 (0.834014, 3266)
24 ==> 1 34 86 (0.687869, 3266)
1 ==> 24 34 86 85 (0.834014, 3266)
24 ==> 1 34 86 85 (0.687869, 3266)
1 ==> 24 34 85 (0.836057, 3274)
24 ==> 1 34 85 (0.689553, 3274)
1 ==> 24 86 (0.838611, 3284)
24 ==> 1 86 (0.69166, 3284)
1 ==> 24 86 85 (0.838611, 3284)
24 ==> 1 86 85 (0.69166, 3284)
1 ==> 24 85 (0.840654, 3292)
24 ==> 1 85 (0.693345, 3292)
1 ==> 36 (0.971399, 3804)
1 ==> 36 90 (0.94382, 3696)
1 ==> 36 90 34 (0.94382, 3696)
1 ==> 36 90 34 86 (0.94382, 3696)
1 ==> 36 90 34 86 85 (0.94382, 3696)
1 ==> 36 90 34 85 (0.94382, 3696)
1 ==> 36 90 86 (0.94382, 3696)
1 ==> 36 90 86 85 (0.94382, 3696)
1 ==> 36 90 85 (0.94382, 3696)
1 ==> 36 34 (0.966803, 3786)
1 ==> 36 34 86 (0.966803, 3786)
1 ==> 36 34 86 85 (0.966803, 3786)
1 ==> 36 34 85 (0.966803, 3786)
1 ==> 36 86 (0.971399, 3804)
1 ==> 36 86 85 (0.971399, 3804)
1 ==> 36 85 (0.971399, 3804)
1 ==> 90 (0.972421, 3808)
1 ==> 90 34 (0.972421, 3808)
1 ==> 90 34 86 (0.970378, 3800)
1 ==> 90 34 86 85 (0.970378, 3800)
1 ==> 90 34 85 (0.972421, 3808)
1 ==> 90 86 (0.970378, 3800)
1 ==> 90 86 85 (0.970378, 3800)
1 ==> 90 85 (0.972421, 3808)
1 ==> 34 (0.995403, 3898)
1 ==> 34 86 (0.993361, 3890)
1 ==> 34 86 85 (0.993361, 3890)
1 ==> 34 85 (0.995403, 3898)
1 ==> 86 (0.997957, 3908)
1 ==> 86 85 (0.997957, 3908)
1 ==> 85 (1, 3916)
93 ==> 2 (0.794355, 3152)
2 ==> 93 (0.749049, 3152)
93 ==> 2 59 (0.754032, 2992)
2 ==> 93 59 (0.711027, 2992)
93 ==> 2 59 85 (0.754032, 2992)
2 ==> 93 59 85 (0.711027, 2992)
93 ==> 2 39 (0.745968, 2960)
2 ==> 93 39 (0.703422, 2960)
93 ==> 2 39 85 (0.745968, 2960)
2 ==> 93 39 85 (0.703422, 2960)
93 ==> 2 34 (0.745968, 2960)
2 ==> 93 34 (0.703422, 2960)
93 ==> 2 34 86 (0.745968, 2960)
2 ==> 93 34 86 (0.703422, 2960)
93 ==> 2 34 86 85 (0.745968, 2960)
2 ==> 93 34 86 85 (0.703422, 2960)
93 ==> 2 34 85 (0.745968, 2960)
2 ==> 93 34 85 (0.703422, 2960)
93 ==> 2 86 (0.745968, 2960)
2 ==> 93 86 (0.703422, 2960)
93 ==> 2 86 85 (0.745968, 2960)
2 ==> 93 86 85 (0.703422, 2960)
93 ==> 2 85 (0.794355, 3152)
2 ==> 93 85 (0.749049, 3152)
93 ==> 63 (0.875, 3472)
63 ==> 93 (0.703404, 3472)
93 ==> 63 59 (0.83871, 3328)
63 ==> 93 59 (0.67423, 3328)
59 ==> 93 63 (0.642968, 3328)
93 ==> 63 59 36 (0.770161, 3056)
63 ==> 93 59 36 (0.619125, 3056)
59 36 ==> 93 63 (0.690778, 3056)
93 ==> 63 59 36 90 (0.743952, 2952)
63 59 ==> 93 36 90 (0.710298, 2952)
63 36 ==> 93 59 90 (0.705545, 2952)
63 90 ==> 93 59 36 (0.656584, 2952)
59 36 ==> 93 63 90 (0.667269, 2952)
59 90 ==> 93 63 36 (0.623311, 2952)
93 ==> 63 59 36 90 85 (0.743952, 2952)
63 59 ==> 93 36 90 85 (0.710298, 2952)
63 36 ==> 93 59 90 85 (0.705545, 2952)
63 90 ==> 93 59 36 85 (0.656584, 2952)
59 36 ==> 93 63 90 85 (0.667269, 2952)
59 90 ==> 93 63 36 85 (0.623311, 2952)
93 ==> 63 59 36 34 (0.721774, 2864)
63 59 ==> 93 36 34 (0.689124, 2864)
63 36 ==> 93 59 34 (0.684512, 2864)
63 34 ==> 93 59 36 (0.60371, 2864)
59 36 ==> 93 63 34 (0.647378, 2864)
93 ==> 63 59 36 34 86 (0.721774, 2864)
63 59 ==> 93 36 34 86 (0.689124, 2864)
63 36 ==> 93 59 34 86 (0.684512, 2864)
63 34 ==> 93 59 36 86 (0.60371, 2864)
63 86 ==> 93 59 36 34 (0.60371, 2864)
59 36 ==> 93 63 34 86 (0.647378, 2864)
93 ==> 63 59 36 34 86 85 (0.721774, 2864)
63 59 ==> 93 36 34 86 85 (0.689124, 2864)
63 36 ==> 93 59 34 86 85 (0.684512, 2864)
63 34 ==> 93 59 36 86 85 (0.60371, 2864)
63 86 ==> 93 59 36 34 85 (0.60371, 2864)
59 36 ==> 93 63 34 86 85 (0.647378, 2864)
93 ==> 63 59 36 34 85 (0.721774, 2864)
63 59 ==> 93 36 34 85 (0.689124, 2864)
63 36 ==> 93 59 34 85 (0.684512, 2864)
63 34 ==> 93 59 36 85 (0.60371, 2864)
59 36 ==> 93 63 34 85 (0.647378, 2864)
93 ==> 63 59 36 86 (0.721774, 2864)
63 59 ==> 93 36 86 (0.689124, 2864)
63 36 ==> 93 59 86 (0.684512, 2864)
63 86 ==> 93 59 36 (0.60371, 2864)
59 36 ==> 93 63 86 (0.647378, 2864)
93 ==> 63 59 36 86 85 (0.721774, 2864)
63 59 ==> 93 36 86 85 (0.689124, 2864)
63 36 ==> 93 59 86 85 (0.684512, 2864)
63 86 ==> 93 59 36 85 (0.60371, 2864)
59 36 ==> 93 63 86 85 (0.647378, 2864)
93 ==> 63 59 36 85 (0.770161, 3056)
63 ==> 93 59 36 85 (0.619125, 3056)
59 36 ==> 93 63 85 (0.690778, 3056)
93 ==> 63 59 90 (0.794355, 3152)
63 ==> 93 59 90 (0.638574, 3152)
59 ==> 93 63 90 (0.608964, 3152)
93 ==> 63 59 90 34 (0.745968, 2960)
63 59 ==> 93 90 34 (0.712223, 2960)
63 90 ==> 93 59 34 (0.658363, 2960)
63 34 ==> 93 59 90 (0.623946, 2960)
59 90 ==> 93 63 34 (0.625, 2960)
93 ==> 63 59 90 34 86 (0.745968, 2960)
63 59 ==> 93 90 34 86 (0.712223, 2960)
63 90 ==> 93 59 34 86 (0.658363, 2960)
63 34 ==> 93 59 90 86 (0.623946, 2960)
63 86 ==> 93 59 90 34 (0.623946, 2960)
59 90 ==> 93 63 34 86 (0.625, 2960)
93 ==> 63 59 90 34 86 85 (0.745968, 2960)
63 59 ==> 93 90 34 86 85 (0.712223, 2960)
63 90 ==> 93 59 34 86 85 (0.658363, 2960)
63 34 ==> 93 59 90 86 85 (0.623946, 2960)
63 86 ==> 93 59 90 34 85 (0.623946, 2960)
59 90 ==> 93 63 34 86 85 (0.625, 2960)
93 ==> 63 59 90 34 85 (0.745968, 2960)
63 59 ==> 93 90 34 85 (0.712223, 2960)
63 90 ==> 93 59 34 85 (0.658363, 2960)
63 34 ==> 93 59 90 85 (0.623946, 2960)
59 90 ==> 93 63 34 85 (0.625, 2960)
93 ==> 63 59 90 86 (0.745968, 2960)
63 59 ==> 93 90 86 (0.712223, 2960)
63 90 ==> 93 59 86 (0.658363, 2960)
63 86 ==> 93 59 90 (0.623946, 2960)
59 90 ==> 93 63 86 (0.625, 2960)
93 ==> 63 59 90 86 85 (0.745968, 2960)
63 59 ==> 93 90 86 85 (0.712223, 2960)
63 90 ==> 93 59 86 85 (0.658363, 2960)
63 86 ==> 93 59 90 85 (0.623946, 2960)
59 90 ==> 93 63 86 85 (0.625, 2960)
93 ==> 63 59 90 85 (0.794355, 3152)
63 ==> 93 59 90 85 (0.638574, 3152)
59 ==> 93 63 90 85 (0.608964, 3152)
93 ==> 63 59 34 (0.790323, 3136)
63 ==> 93 59 34 (0.635332, 3136)
59 ==> 93 63 34 (0.605873, 3136)
93 ==> 63 59 34 86 (0.790323, 3136)
63 ==> 93 59 34 86 (0.635332, 3136)
59 ==> 93 63 34 86 (0.605873, 3136)
93 ==> 63 59 34 86 85 (0.790323, 3136)
63 ==> 93 59 34 86 85 (0.635332, 3136)
59 ==> 93 63 34 86 85 (0.605873, 3136)
93 ==> 63 59 34 85 (0.790323, 3136)
63 ==> 93 59 34 85 (0.635332, 3136)
59 ==> 93 63 34 85 (0.605873, 3136)
93 ==> 63 59 86 (0.790323, 3136)
63 ==> 93 59 86 (0.635332, 3136)
59 ==> 93 63 86 (0.605873, 3136)
93 ==> 63 59 86 85 (0.790323, 3136)
63 ==> 93 59 86 85 (0.635332, 3136)
59 ==> 93 63 86 85 (0.605873, 3136)
93 ==> 63 59 85 (0.83871, 3328)
63 ==> 93 59 85 (0.67423, 3328)
59 ==> 93 63 85 (0.642968, 3328)
93 ==> 63 36 (0.788306, 3128)
63 ==> 93 36 (0.633712, 3128)
93 ==> 63 36 90 (0.762097, 3024)
63 ==> 93 36 90 (0.612642, 3024)
93 ==> 63 36 90 85 (0.762097, 3024)
63 ==> 93 36 90 85 (0.612642, 3024)
93 ==> 63 36 34 (0.739919, 2936)
63 36 ==> 93 34 (0.701721, 2936)
63 34 ==> 93 36 (0.618887, 2936)
93 ==> 63 36 34 86 (0.739919, 2936)
63 36 ==> 93 34 86 (0.701721, 2936)
63 34 ==> 93 36 86 (0.618887, 2936)
63 86 ==> 93 36 34 (0.618887, 2936)
93 ==> 63 36 34 86 85 (0.739919, 2936)
63 36 ==> 93 34 86 85 (0.701721, 2936)
63 34 ==> 93 36 86 85 (0.618887, 2936)
63 86 ==> 93 36 34 85 (0.618887, 2936)
93 ==> 63 36 34 85 (0.739919, 2936)
63 36 ==> 93 34 85 (0.701721, 2936)
63 34 ==> 93 36 85 (0.618887, 2936)
93 ==> 63 36 86 (0.739919, 2936)
63 36 ==> 93 86 (0.701721, 2936)
63 86 ==> 93 36 (0.618887, 2936)
93 ==> 63 36 86 85 (0.739919, 2936)
63 36 ==> 93 86 85 (0.701721, 2936)
63 86 ==> 93 36 85 (0.618887, 2936)
93 ==> 63 36 85 (0.788306, 3128)
63 ==> 93 36 85 (0.633712, 3128)
93 ==> 63 90 (0.8125, 3224)
63 ==> 93 90 (0.65316, 3224)
93 ==> 63 90 34 (0.764113, 3032)
63 ==> 93 90 34 (0.614263, 3032)
93 ==> 63 90 34 86 (0.764113, 3032)
63 ==> 93 90 34 86 (0.614263, 3032)
93 ==> 63 90 34 86 85 (0.764113, 3032)
63 ==> 93 90 34 86 85 (0.614263, 3032)
93 ==> 63 90 34 85 (0.764113, 3032)
63 ==> 93 90 34 85 (0.614263, 3032)
93 ==> 63 90 86 (0.764113, 3032)
63 ==> 93 90 86 (0.614263, 3032)
93 ==> 63 90 86 85 (0.764113, 3032)
63 ==> 93 90 86 85 (0.614263, 3032)
93 ==> 63 90 85 (0.8125, 3224)
63 ==> 93 90 85 (0.65316, 3224)
93 ==> 63 34 (0.826613, 3280)
63 ==> 93 34 (0.664506, 3280)
93 ==> 63 34 86 (0.826613, 3280)
63 ==> 93 34 86 (0.664506, 3280)
93 ==> 63 34 86 85 (0.826613, 3280)
63 ==> 93 34 86 85 (0.664506, 3280)
93 ==> 63 34 85 (0.826613, 3280)
63 ==> 93 34 85 (0.664506, 3280)
93 ==> 63 86 (0.826613, 3280)
63 ==> 93 86 (0.664506, 3280)
93 ==> 63 86 85 (0.826613, 3280)
63 ==> 93 86 85 (0.664506, 3280)
93 ==> 63 85 (0.875, 3472)
63 ==> 93 85 (0.703404, 3472)
93 ==> 59 (0.923387, 3664)
59 ==> 93 (0.707883, 3664)
93 ==> 59 39 (0.760081, 3016)
59 39 ==> 93 (0.839644, 3016)
93 ==> 59 39 36 (0.72379, 2872)
59 39 ==> 93 36 (0.799555, 2872)
59 36 ==> 93 39 (0.649186, 2872)
39 36 ==> 93 59 (0.630378, 2872)
93 ==> 59 39 36 85 (0.72379, 2872)
59 39 ==> 93 36 85 (0.799555, 2872)
59 36 ==> 93 39 85 (0.649186, 2872)
39 36 ==> 93 59 85 (0.630378, 2872)
93 ==> 59 39 85 (0.760081, 3016)
59 39 ==> 93 85 (0.839644, 3016)
93 ==> 59 36 (0.836694, 3320)
59 ==> 93 36 (0.641422, 3320)
93 ==> 59 36 90 (0.810484, 3216)
59 ==> 93 36 90 (0.621329, 3216)
93 ==> 59 36 90 34 (0.762097, 3024)
59 36 ==> 93 90 34 (0.683544, 3024)
59 90 ==> 93 36 34 (0.638514, 3024)
59 34 ==> 93 36 90 (0.606742, 3024)
93 ==> 59 36 90 34 86 (0.762097, 3024)
59 36 ==> 93 90 34 86 (0.683544, 3024)
59 90 ==> 93 36 34 86 (0.638514, 3024)
59 34 ==> 93 36 90 86 (0.606742, 3024)
59 86 ==> 93 36 90 34 (0.606742, 3024)
93 ==> 59 36 90 34 86 85 (0.762097, 3024)
59 36 ==> 93 90 34 86 85 (0.683544, 3024)
59 90 ==> 93 36 34 86 85 (0.638514, 3024)
59 34 ==> 93 36 90 86 85 (0.606742, 3024)
59 86 ==> 93 36 90 34 85 (0.606742, 3024)
93 ==> 59 36 90 34 85 (0.762097, 3024)
59 36 ==> 93 90 34 85 (0.683544, 3024)
59 90 ==> 93 36 34 85 (0.638514, 3024)
59 34 ==> 93 36 90 85 (0.606742, 3024)
93 ==> 59 36 90 86 (0.762097, 3024)
59 36 ==> 93 90 86 (0.683544, 3024)
59 90 ==> 93 36 86 (0.638514, 3024)
59 86 ==> 93 36 90 (0.606742, 3024)
93 ==> 59 36 90 86 85 (0.762097, 3024)
59 36 ==> 93 90 86 85 (0.683544, 3024)
59 90 ==> 93 36 86 85 (0.638514, 3024)
59 86 ==> 93 36 90 85 (0.606742, 3024)
93 ==> 59 36 90 85 (0.810484, 3216)
59 ==> 93 36 90 85 (0.621329, 3216)
93 ==> 59 36 34 (0.788306, 3128)
59 ==> 93 36 34 (0.604328, 3128)
93 ==> 59 36 34 86 (0.788306, 3128)
59 ==> 93 36 34 86 (0.604328, 3128)
93 ==> 59 36 34 86 85 (0.788306, 3128)
59 ==> 93 36 34 86 85 (0.604328, 3128)
93 ==> 59 36 34 85 (0.788306, 3128)
59 ==> 93 36 34 85 (0.604328, 3128)
93 ==> 59 36 86 (0.788306, 3128)
59 ==> 93 36 86 (0.604328, 3128)
93 ==> 59 36 86 85 (0.788306, 3128)
59 ==> 93 36 86 85 (0.604328, 3128)
93 ==> 59 36 85 (0.836694, 3320)
59 ==> 93 36 85 (0.641422, 3320)
93 ==> 59 90 (0.860887, 3416)
59 ==> 93 90 (0.659969, 3416)
93 ==> 59 90 34 (0.8125, 3224)
59 ==> 93 90 34 (0.622875, 3224)
93 ==> 59 90 34 86 (0.8125, 3224)
59 ==> 93 90 34 86 (0.622875, 3224)
93 ==> 59 90 34 86 85 (0.8125, 3224)
59 ==> 93 90 34 86 85 (0.622875, 3224)
93 ==> 59 90 34 85 (0.8125, 3224)
59 ==> 93 90 34 85 (0.622875, 3224)
93 ==> 59 90 86 (0.8125, 3224)
59 ==> 93 90 86 (0.622875, 3224)
93 ==> 59 90 86 85 (0.8125, 3224)
59 ==> 93 90 86 85 (0.622875, 3224)
93 ==> 59 90 85 (0.860887, 3416)
59 ==> 93 90 85 (0.659969, 3416)
